TRANSTEXT 6.9.999.8
PRIMARY_LANGID 9
English Text	Translated Text	Item Type
NEED_TRANSLATION
"week(s)"	"semana(s)"	"label"
"year(s)"	"año(s)"	"label"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Kb descargado hasta ahora (%0.1f Kb pendiente)"	"text"
"%s %.2f %c"	"%s %.2f %c"	"text"
"%s %d"	"%s %d"	"text"
"%s %s (%s)"	"%s %s (%s)"	"text"
"%s %s"	"%s %s"	"text"
"%s (Custom)"	"%s (Personalizado)"	"text"
"%s (Custom, Relative)"	"%s (Personalizado, Relativo)"	"text"
"%s [%s]"	"%s [%s]"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights." "'%s' no puede ser verificado.\n\nPor favor compruebe si no se ha movido o borrado y que tiene los accesos necesarios."	"text"
"'%s' could not be checked out\nbecause it is currently checked out to '%s'"	"'%s' no puede ser desprotegido\nporque actualmente esta desprotegido '%s'"	"text"
"'%s' could not be found."	"'%s' no se pudo encontrar."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"'%s'no puede ser abierto (%d).\n\nPor favor compruebe si el fichero existe y si tiene derechos de acceso apropiados antes de escribir de nuevo."	"text"
"'%s' could not be opened because access to the file was denied. \n\nPlease check that you have the required permissions and try again."	"'%s' no puede ser abierto porque el acceso al fichero ha sido denegado. \n\nPor favor compruebe si tiene los permisos necesarios e inténtelo de nuevo."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"'%s' no puede ser abierto porque el acceso al fichero ha sido denegado.\n\nPor favor comprueba si tienes los permisos necesarios e inténtalo de nuevo."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' no puede ser abierto porque otro usuario\n(o aplicación) está actualmente accediendo al fichero.\n\nPor favor inténtelo en otro momento."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' no puede ser abierto su contenido \nXML mal formado y el componente MSXML no puede interpretarlo."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' no puede ser abierto por estar encriptado y tu no tienes el componente de desencriptación instalado.\n\nPor favor contacto con AbstractSpoon Software para obtener más información."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"'%s' no puede abrirse porque el método de encriptación no puede ser determinado."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"'%s' no puede abrirse debido a un error inesperado (%d)."	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	"'%s' no puede salvarse porque el acceso a este fichero ha sido denegado.\n\nPor favor indique otra nombre."	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' no puede ser salvado porque otroa usuario\n(o aplicación) esta accediento actualmente al fichero.\n\nPor favor inténtelo en otro momento."	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	"'%s' no puede ser salvado porque el fichero es de solo lectura.\n\nPor favor indique otro nombre."	"text"
"'%s' could not be saved due to an unexpected error (%d)."	"'%s' no puede ser salvado debido a un error inesperado (%d)."	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	"'%s' no puede ser salvado debido a espacio de disco insuficiente.\n\nPor favor seleccione otro nombre."	"text"
"'%s' does not appear to be a valid tasklist."	"'% s' no parece ser una lista de tareas válida."	"text"
"'%s' has no tasks due by the end of next month"	"'%s' no tiene tareas debido a que estamos a finales del mes próximo"	"text"
"'%s' has no tasks due by the end of next week"	"'%s' no tiene tareas debido a que estamos a finales de la semana próxima"	"text"
"'%s' has no tasks due by the end of this month"	"'%s' no tiene tareas debido a que estamos a finales de este mes"	"text"
"'%s' has no tasks due by the end of this week"	"'%s' no tiene tareas debido a que estamos a finales de esta semana"	"text"
"'%s' has no tasks due by today"	"'%s' no tiene tares para hoy"	"text"
"'%s' has no tasks due by tomorrow"	"'%s' no tiene tareas para mañana"	"text"
"'%s' must be checked out before it can be saved."	"'%s' debe ser comprobado antes de ser salvado."	"text"
"'Due' task colour"	"'Due' color de la tarea"	"checkbox.1103"
"'Stack' edit fields and comments when they occupy the same position (left, right or below)"	"'Tarea' edite campos y comentarios cuando ocupen la misma posición (izquierda, derecha o debajo)"	"checkbox.1453"
