TRANSTEXT 8.2.999.3
PRIMARY_LANGID 21
English Text	Translated Text	Item Type
NEED_TRANSLATION
"(Blanks)"	""	"listbox"
"(more tasks not shown...)"	""	"text"
"(Reduce visible date range)"	""	"combobox"
"(Select All)"	""	"listbox"
"(Weeks {0}-{1})"	""	"label"
"-mp\tUses the password of the first decrypted tasklist as a master password for decrypting subsequent tasklists. Requires password prompting to be turned off (-x)"	""	"text"
"1st attribute"	""	"label"
"2nd attribute"	""	"label"
"<new dependency>"	""	"text"
"<value varies>"	""	"text"
"A connection already exists between the two selected tasks"	""	"text"
"Add"	""	"combobox"
"All Borders"	""	"tooltip"
"All Columns"	""	"menu"
"All Rows"	""	"menu"
"Any version can match"	""	"combobox"
"Apply font to all content"	""	"radiobutton"
"Arrows"	""	"label"
"Auto Function"	""	"menu"
"Background colour"	""	"checkbox"
"Border"	""	"systabcontrol32"
"Border Colour"	""	"tooltip"
"Borders"	""	"menu"
"Both"	""	"combobox"
"Bottom Align"	""	"tooltip"
"Bottom Border"	""	"tooltip"
"Button"	""	"menu"
"Calculation"	""	"text"
"Categorise Attributes"	""	"tooltip"
"Cells"	""	"menu"
"Change Cell Type"	""	"menu"
"Check Box"	""	"menu"
"Clear Borders"	""	"tooltip"
"Clear Zoom"	""	"tooltip"
"Collapse All Images"	""	"tooltip"
"Column Dropdown List"	""	"menu"
"Column Operations"	""	"menu"
"Column Width..."	""	"menu"
"Comments Format"	""	"text"
"Connection Visibility"	""	"label"
"Copy '%s' Value"	""	"menu"
"Copy '%s' Values"	""	"menu"
"Copy All Values From Column"	""	"menu"
"Copy Selected Values From Column"	""	"menu"
"Currency"	""	"listbox"
"Dashed"	""	"menu"
"Data"	""	"menu"
"Data Format"	""	"menu"
"Date must be set"	""	"tooltip"
"Date Picker"	""	"menu"
"Date range"	""	"label"
"DateTime"	""	"listbox"
"Decimal places"	""	"label"
"Default Connection Attributes"	""	"label"
"Define Named Range..."	""	"menu"
"Degrees"	""	"label"
"Delete Columns"	""	"menu"
"Delete Connection"	""	"tooltip"
"Delete Rows"	""	"menu"
"Delete Time Block"	""	"tooltip"
"Delete Time Block Series"	""	"tooltip"
"Dependency colour"	""	"label"
"Display 'File Link' images as thumbnails"	""	"checkbox"
"Display active tasks on 'Today'"	""	"checkbox"
"Display an image behind content pages"	""	"checkbox"
"Display tasks discontinuously between their 'Start' and 'Due' (or 'Completion') dates"	""	"checkbox"
"Distributed (Indent)"	""	"combobox"
"Divide"	""	"combobox"
"Documentation..."	""	"menu"
"Dotted"	""	"menu"
"Draw connections on top"	""	"combobox"
"Draw pins"	""	"combobox"
"Duplicate Time Block"	""	"tooltip"
"Edit Cell"	""	"menu"
"Edit Connection"	""	"tooltip"
"Edit Dropdown List Items..."	""	"menu"
"Edit Ignore List"	""	"tooltip"
"Edit Time Block Series"	""	"tooltip"
"End"	""	"combobox"
"Evidence Board"	""	"text"
"Evidence Board Preferences"	""	"dialog"
"Expand All Images"	""	"tooltip"
"File not found (%s)"	""	"tooltip"
"Fill"	""	"systabcontrol32"
"Fill Pattern"	""	"label"
"Fixed"	""	"radiobutton"
"Font Options"	""	"label"
"Format Cell..."	""	"menu"
"Format Cells"	""	"dialog"
"Formula"	""	"menu"
"Freeze To Cell"	""	"menu"
"Freeze To Edges"	""	"menu"
"Future Occurrence"	""	"tooltip"
"Graphs Preferences"	""	"tooltip"
"Group"	""	"menu"
"Group By"	""	"label"
"Having the following tag"	""	"checkbox"
"Hide"	""	"menu"
"Homepage..."	""	"menu"
"Horizontal"	""	"label"
"Hyperlink"	""	"menu"
"Ignore Selected Word"	""	"tooltip"
"Image Button"	""	"menu"
"Image of active task view (%s)"	""	"radiobutton"
"Indent"	""	"label"
"Insert Columns"	""	"menu"
"Insert Page Break"	""	"menu"
"Insert Rows"	""	"menu"
"Inside Borders"	""	"tooltip"
"Installed font"	""	"radiobutton"
"Label"	""	"label"
"Lead In (Days)"	""	"sysheader32"
"Left and Right Borders"	""	"tooltip"
"Left Border"	""	"tooltip"
"Left Bottom"	""	"menu"
"Left Top (Default)"	""	"menu"
"Line Attributes"	""	"label"
"Locale (location)"	""	"text"
"Locked (Read-only)"	""	"checkbox"
"Markdeep Files"	""	"text"
"Markdown"	""	"text"
"Merge Cells"	""	"menu"
"Middle Align"	""	"tooltip"
"Modify all connections of the same type"	""	"checkbox"
"Modify Connection"	""	"dialog"
"More..."	""	"button"
"Multiply"	""	"combobox"
"Name Manager..."	""	"menu"
"Named Range Management"	""	"dialog"
"Nearest Decade"	""	"combobox"
"Nearest Half-Hour"	""	"combobox"
"Negative numbers"	""	"label"
"Negative Progress"	""	"menu"
"New"	""	"menu"
"New Connection"	""	"tooltip"
"New External Tool"	""	"tooltip"
"New Named Range"	""	"dialog"
"New Time Block"	""	"dialog"
"New ToDoList Tool"	""	"tooltip"
"Next Image"	""	"tooltip"
"None"	""	"combobox"
"Number"	""	"listbox"
"Only 'flash' the Reminder window for new (or reshown) reminders"	""	"checkbox"
"Only apply font to unformatted content"	""	"radiobutton"
"Only top-level task attributes are allowed in the Title section."	""	"text"
"Operation"	""	"label"
"Orientation"	""	"label"
"Other font"	""	"radiobutton"
"Outside Borders"	""	"tooltip"
"Parent/Child"	""	"combobox"
