TRANSTEXT 8.2.999.3
PRIMARY_LANGID 6
English Text	Translated Text	Item Type
NEED_TRANSLATION
"(Blanks)"	""	"listbox"
"(more tasks not shown...)"	""	"text"
"(Reduce visible date range)"	""	"combobox"
"(Select All)"	""	"listbox"
"-mp\tUses the password of the first decrypted tasklist as a master password for decrypting subsequent tasklists. Requires password prompting to be turned off (-x)"	""	"text"
"<new dependency>"	""	"text"
"A connection already exists between the two selected tasks"	""	"text"
"All Borders"	""	"tooltip"
"All Columns"	""	"menu"
"All Rows"	""	"menu"
"Apply font to all content"	""	"radiobutton"
"Arrows"	""	"label"
"Auto Function"	""	"menu"
"Background colour"	""	"checkbox"
"Border"	""	"systabcontrol32"
"Border Colour"	""	"tooltip"
"Borders"	""	"menu"
"Both"	""	"combobox"
"Bottom Align"	""	"tooltip"
"Bottom Border"	""	"tooltip"
"Button"	""	"menu"
"Cells"	""	"menu"
"Change Cell Type"	""	"menu"
"Check Box"	""	"menu"
"Clear Borders"	""	"tooltip"
"Clear Zoom"	""	"tooltip"
"Collapse All Images"	""	"tooltip"
"Column Dropdown List"	""	"menu"
"Column Width..."	""	"menu"
"Comments Format"	""	"text"
"Connection Visibility"	""	"label"
"Currency"	""	"listbox"
"Dashed"	""	"menu"
"Data"	""	"menu"
"Data Format"	""	"menu"
"Date Picker"	""	"menu"
"Date range"	""	"label"
"DateTime"	""	"listbox"
"Decimal places"	""	"label"
"Default Connection Attributes"	""	"label"
"Define Named Range..."	""	"menu"
"Degrees"	""	"label"
"Delete Columns"	""	"menu"
"Delete Connection"	""	"tooltip"
"Delete Rows"	""	"menu"
"Delete Time Block"	""	"tooltip"
"Delete Time Block Series"	""	"tooltip"
"Dependency colour"	""	"label"
"Display 'File Link' images as thumbnails"	""	"checkbox"
"Display active tasks on 'Today'"	""	"checkbox"
"Display an image behind content pages"	""	"checkbox"
"Display tasks discontinuously between their 'Start' and 'Due' (or 'Completion') dates"	""	"checkbox"
"Distributed (Indent)"	""	"combobox"
"Documentation..."	""	"menu"
"Dotted"	""	"menu"
"Draw connections on top"	""	"combobox"
"Draw pins"	""	"combobox"
"Duplicate Time Block"	""	"tooltip"
"Edit Cell"	""	"menu"
"Edit Connection"	""	"tooltip"
"Edit Dropdown List Items..."	""	"menu"
"Edit Ignore List"	""	"tooltip"
"Edit Time Block Series"	""	"tooltip"
"End"	""	"combobox"
"Evidence Board"	""	"text"
"Evidence Board Preferences"	""	"dialog"
"Expand All Images"	""	"tooltip"
"File not found (%s)"	""	"tooltip"
"Fill"	""	"systabcontrol32"
"Fill Pattern"	""	"label"
"Fixed"	""	"radiobutton"
"Font Options"	""	"label"
"Format Cell..."	""	"menu"
"Format Cells"	""	"dialog"
"Formula"	""	"menu"
"Freeze To Cell"	""	"menu"
"Freeze To Edges"	""	"menu"
"Future Occurrence"	""	"tooltip"
"Group"	""	"menu"
"Group By"	""	"label"
"Hide"	""	"menu"
"Homepage..."	""	"menu"
"Horizontal"	""	"label"
"Hyperlink"	""	"menu"
"Ignore Selected Word"	""	"tooltip"
"Image Button"	""	"menu"
"Image of active task view (%s)"	""	"radiobutton"
"Indent"	""	"label"
"Insert Columns"	""	"menu"
"Insert Page Break"	""	"menu"
"Insert Rows"	""	"menu"
"Inside Borders"	""	"tooltip"
"Installed font"	""	"radiobutton"
"Label"	""	"label"
"Lead In (Days)"	""	"sysheader32"
"Left and Right Borders"	""	"tooltip"
"Left Border"	""	"tooltip"
"Left Bottom"	""	"menu"
"Left Top (Default)"	""	"menu"
"Line Attributes"	""	"label"
"Locale (location)"	""	"text"
"Locked (Read-only)"	""	"checkbox"
"Markdeep Files"	""	"text"
"Markdown"	""	"text"
"Merge Cells"	""	"menu"
"Middle Align"	""	"tooltip"
"Modify all connections of the same type"	""	"checkbox"
"Modify Connection"	""	"dialog"
"More..."	""	"button"
"Name Manager..."	""	"menu"
"Named Range Management"	""	"dialog"
"Nearest Decade"	""	"combobox"
"Nearest Half-Hour"	""	"combobox"
"Negative numbers"	""	"label"
"Negative Progress"	""	"menu"
"New"	""	"menu"
"New Connection"	""	"tooltip"
"New Named Range"	""	"dialog"
"New Time Block"	""	"dialog"
"Next Image"	""	"tooltip"
"None"	""	"combobox"
"Number"	""	"listbox"
"Only 'flash' the Reminder window for new (or reshown) reminders"	""	"checkbox"
"Only apply font to unformatted content"	""	"radiobutton"
"Only top-level task attributes are allowed in the Title section."	""	"text"
"Orientation"	""	"label"
"Other font"	""	"radiobutton"
"Outside Borders"	""	"tooltip"
"Parent/Child"	""	"combobox"
"Parent/child connection colour"	""	"label"
"Paste Task Attributes"	""	"menu"
"Pattern"	""	"label"
"PDF Tree View"	""	"combobox"
"PDF Tree View Options"	""	"dialog"
"Percent"	""	"listbox"
"Please insert at least one space between the existing placeholders and then try again."	""	"text"
"Preserve weekdays"	""	"checkbox"
"Preserve weekdays by default when recalculating task dates"	""	"checkbox"
"Preset Styles"	""	"label"
"Previous Image"	""	"tooltip"
"Properties..."	""	"menu"
"Protection"	""	"systabcontrol32"
"Radio Button"	""	"menu"
"Range"	""	"label"
"Recalculate Worksheet"	""	"menu"
"Remove All Arrows"	""	"menu"
"Remove Arrows"	""	"menu"
"Remove Dependent Arrows"	""	"menu"
"Remove Page Break"	""	"menu"
